CommandName,SelfHosted,SharedServices,PCloudStandard
Get-VPASSafes,TRUE,TRUE,TRUE
Get-VPASSafesByPlatformID,TRUE,TRUE,TRUE
Get-VPASSpecificAuthenticationMethod,TRUE,TRUE,TRUE
Get-VPASSQLAccounts,TRUE,TRUE,TRUE
Get-VPASSQLPlatforms,TRUE,TRUE,TRUE
Get-VPASSQLSafes,TRUE,TRUE,TRUE
Get-VPASSystemComponents,TRUE,TRUE,TRUE
Get-VPASSystemHealth,TRUE,TRUE,TRUE
Get-VPASUsagePlatformDetails,TRUE,TRUE,TRUE
Get-VPASVaultDetails,TRUE,TRUE,TRUE
Get-VPASVaultVersion,TRUE,TRUE,TRUE
Import-VPASConnectionComponent,TRUE,TRUE,TRUE
Import-VPASPlatform,TRUE,TRUE,TRUE
Invoke-VPASAccountPasswordAction,TRUE,TRUE,TRUE
Invoke-VPASActivePSMSessionAction,TRUE,TRUE,TRUE
Invoke-VPASAuditSafeTest,TRUE,TRUE,TRUE
Invoke-VPASMetricsAccounts,TRUE,TRUE,TRUE
Invoke-VPASMetricsCPM,TRUE,TRUE,TRUE
Invoke-VPASMetricsPSM,TRUE,TRUE,TRUE
Invoke-VPASQuery,TRUE,TRUE,TRUE
Invoke-VPASReporting,TRUE,TRUE,TRUE
Invoke-VPASUserLicenseReport,FALSE,TRUE,TRUE
New-VPASIdentityGenerateUserPassword,FALSE,TRUE,FALSE
New-VPASPSMSession,TRUE,TRUE,TRUE
New-VPASToken,TRUE,TRUE,TRUE
Remove-VPASAccount,TRUE,TRUE,TRUE
Remove-VPASAccountFromAccountGroup,TRUE,TRUE,TRUE
Remove-VPASAccountRequest,TRUE,TRUE,TRUE
Remove-VPASAllDiscoveredAccounts,TRUE,TRUE,TRUE
Remove-VPASApplication,TRUE,TRUE,TRUE
Remove-VPASApplicationAuthentication,TRUE,TRUE,TRUE
Remove-VPASAuthenticationMethod,TRUE,TRUE,TRUE
Remove-VPASDirectory,TRUE,FALSE,TRUE
Remove-VPASEPVGroup,TRUE,TRUE,TRUE
Remove-VPASEPVUser,TRUE,TRUE,TRUE
Remove-VPASGroupPlatform,TRUE,TRUE,TRUE
Remove-VPASIdentityAdminSecurityQuestion,FALSE,TRUE,FALSE
Remove-VPASIdentityRole,FALSE,TRUE,FALSE
Remove-VPASLinkedAccount,TRUE,TRUE,TRUE
Remove-VPASMemberEPVGroup,TRUE,TRUE,TRUE
Remove-VPASPlatform,TRUE,TRUE,TRUE
Remove-VPASRotationalPlatform,TRUE,TRUE,TRUE
Remove-VPASSafe,TRUE,TRUE,TRUE
Remove-VPASSafeMember,TRUE,TRUE,TRUE
Remove-VPASToken,TRUE,TRUE,TRUE
Remove-VPASUsagePlatform,TRUE,TRUE,TRUE
Reset-VPASEPVUserPassword,TRUE,TRUE,TRUE
Reset-VPASIdentityUserSecurityQuestions,FALSE,TRUE,FALSE
Set-VPASAuditSafeTest,TRUE,TRUE,TRUE
Set-VPASIdentityUserState,FALSE,TRUE,FALSE
Set-VPASIdentityUserStatus,FALSE,TRUE,FALSE
